id,"country_iso3_code","state_iso_3166_2_code","name_en","metro_code","time_zone"
1,"USA","US-IN","Aurora","515","America/New_York"
2,"USA","US-KY","Paducah","632","America/Chicago"
3,"USA","US-MD","Jessup","512","America/New_York"
4,"USA","US-TN","Cordova","640","America/Chicago"
5,"USA","US-TX","Buda","635","America/Chicago"
6,"USA","US-AL","Mobile","686","America/Chicago"
7,"USA","US-AL","Phenix City","522","America/New_York"
8,"USA","US-AL","Russellville","691","America/Chicago"
9,"USA","US-AL","Wilmer","686","America/Chicago"
10,"USA","US-AR","Jacksonville","693","America/Chicago"
11,"USA","US-AR","Mena","693","America/Chicago"
12,"USA","US-AR","Monticello","693","America/Chicago"
13,"USA","US-DC","Washington","511","America/New_York"
14,"USA","US-DE","Greenwood","576","America/New_York"
15,"USA","US-DE","Seaford","576","America/New_York"
16,"USA","US-FL","Altamonte Springs","534","America/New_York"
17,"USA","US-FL","Altha","656","America/Chicago"
18,"USA","US-FL","Apalachicola","656","America/New_York"
19,"USA","US-FL","Babson Park","534","America/New_York"
20,"USA","US-FL","Blountstown","656","America/Chicago"
21,"USA","US-FL","Boca Raton","548","America/New_York"
22,"USA","US-FL","Boynton Beach","548","America/New_York"
23,"USA","US-FL","Bradenton","539","America/New_York"
24,"USA","US-FL","Bristol","656","America/New_York"
25,"USA","US-FL","Chattahoochee","530","America/New_York"
26,"USA","US-FL","Clearwater","539","America/New_York"
27,"USA","US-FL","Clermont","534","America/New_York"
28,"USA","US-FL","Cocoa","534","America/New_York"
29,"USA","US-FL","Cocoa Beach","534","America/New_York"
30,"USA","US-FL","Coral Gables","528","America/New_York"
31,"USA","US-FL","Dade City","539","America/New_York"
32,"USA","US-FL","Dunnellon","534","America/New_York"
33,"USA","US-FL","Eastpoint","656","America/New_York"
34,"USA","US-FL","Eustis","534","America/New_York"
35,"USA","US-FL","Fernandina Beach","561","America/New_York"
36,"USA","US-FL","Fort Lauderdale","528","America/New_York"
37,"USA","US-FL","Fort Myers","571","America/New_York"
38,"USA","US-FL","Ft. Pierce","548","America/New_York"
39,"USA","US-FL","Groveland","534","America/New_York"
40,"USA","US-FL","Haines City","539","America/New_York"
41,"USA","US-FL","Hialeah","528","America/New_York"
42,"USA","US-FL","Hollywood","528","America/New_York"
43,"USA","US-FL","Homestead","528","America/New_York"
44,"USA","US-FL","Interlachen","561","America/New_York"
45,"USA","US-FL","Jacksonville","561","America/New_York"
46,"USA","US-FL","Jupiter","548","America/New_York"
47,"USA","US-FL","Lady Lake","534","America/New_York"
48,"USA","US-FL","Lake Panasoffkee","534","America/New_York"
49,"USA","US-FL","Lake Wales","539","America/New_York"
50,"USA","US-FL","Largo","539","America/New_York"
51,"USA","US-FL","Leesburg","534","America/New_York"
52,"USA","US-FL","Lithia","539","America/New_York"
53,"USA","US-FL","Marianna","656","America/Chicago"
54,"USA","US-FL","Melbourne","534","America/New_York"
55,"USA","US-FL","Miami","528","America/New_York"
56,"USA","US-FL","Miami Beach","528","America/New_York"
57,"USA","US-FL","Middleburg","561","America/New_York"
58,"USA","US-FL","Mims","534","America/New_York"
59,"USA","US-FL","Mt. Dora","534","America/New_York"
60,"USA","US-FL","Myakka City","539","America/New_York"
61,"USA","US-FL","Naples","571","America/New_York"
62,"USA","US-FL","New Port Richey","539","America/New_York"
63,"USA","US-FL","New Smyrna Beach","534","America/New_York"
64,"USA","US-FL","North Miami Beach","528","America/New_York"
65,"USA","US-FL","Ocala","534","America/New_York"
66,"USA","US-FL","Odessa","539","America/New_York"
67,"USA","US-FL","Opa-locka","528","America/New_York"
68,"USA","US-FL","Orlando","534","America/New_York"
69,"USA","US-FL","Oviedo","534","America/New_York"
70,"USA","US-FL","Palm Bay","534","America/New_York"
71,"USA","US-FL","Perry","530","America/New_York"
72,"USA","US-FL","Pompano Beach","528","America/New_York"
73,"USA","US-FL","Ponte Vedra Beach","561","America/New_York"
74,"USA","US-FL","Port Saint Joe","656","America/New_York"
75,"USA","US-FL","St. Augustine","561","America/New_York"
76,"USA","US-FL","Saint Petersburg","539","America/New_York"
77,"USA","US-FL","Sarasota","539","America/New_York"
78,"USA","US-FL","Seminole","539","America/New_York"
79,"USA","US-FL","Tallahassee","530","America/New_York"
80,"USA","US-FL","Tampa","539","America/New_York"
81,"USA","US-FL","Vernon","656","America/Chicago"
82,"USA","US-FL","Wauchula","539","America/New_York"
83,"USA","US-FL","West Palm Beach","548","America/New_York"
84,"USA","US-FL","Wewahitchka","656","America/Chicago"
85,"USA","US-FL","Yulee","561","America/New_York"
86,"USA","US-FL","Zephyrhills","539","America/New_York"
87,"USA","US-GA","Atlanta","524","America/New_York"
88,"USA","US-GA","Augusta","520","America/New_York"
89,"USA","US-GA","Bethlehem","524","America/New_York"
90,"USA","US-GA","Cumming","524","America/New_York"
91,"USA","US-GA","Dacula","524","America/New_York"
92,"USA","US-GA","Decatur","524","America/New_York"
93,"USA","US-GA","Douglasville","524","America/New_York"
94,"USA","US-GA","Fairburn","524","America/New_York"
95,"USA","US-GA","Franklin","524","America/New_York"
96,"USA","US-GA","Jesup","507","America/New_York"
97,"USA","US-GA","Juliette","503","America/New_York"
98,"USA","US-GA","Kennesaw","524","America/New_York"
99,"USA","US-GA","Lawrenceville","524","America/New_York"
100,"USA","US-GA","Loganville","524","America/New_York"
101,"USA","US-GA","Lovejoy","524","America/New_York"
102,"USA","US-GA","Marietta","524","America/New_York"
103,"USA","US-GA","McDonough","524","America/New_York"
104,"USA","US-GA","Quitman","530","America/New_York"
105,"USA","US-GA","Register","507","America/New_York"
106,"USA","US-GA","Roswell","524","America/New_York"
107,"USA","US-GA","Stockbridge","524","America/New_York"
108,"USA","US-GA","Stone Mountain","524","America/New_York"
109,"USA","US-GA","Suwanee","524","America/New_York"
110,"USA","US-GA","Vidalia","507","America/New_York"
111,"USA","US-GA","Waynesboro","520","America/New_York"
112,"USA","US-GA","Woodstock","524","America/New_York"
113,"USA","US-IL","Belleville","609","America/Chicago"
114,"USA","US-IL","Carlyle","609","America/Chicago"
115,"USA","US-IL","Iuka","609","America/Chicago"
116,"USA","US-IN","Bloomington","527","America/Indiana/Indianapolis"
117,"USA","US-IN","Charlestown","529","America/Kentucky/Louisville"
118,"USA","US-IN","Columbus","527","America/Indiana/Indianapolis"
119,"USA","US-IN","Commiskey","529","America/Indiana/Indianapolis"
120,"USA","US-IN","Indianapolis","527","America/Indiana/Indianapolis"
121,"USA","US-IN","Jasper","649","America/Indiana/Vincennes"
122,"USA","US-IN","Lexington","529","America/Indiana/Indianapolis"
123,"USA","US-IN","Madison","529","America/Indiana/Indianapolis"
124,"USA","US-IN","Mitchell","527","America/Indiana/Indianapolis"
125,"USA","US-IN","Orleans","529","America/Indiana/Indianapolis"
